MPIO_CNMBR,DPTO_CNMBR,MPIO_CDPMP,pob_dane_2025,Hab_km2_2025,Tp_Ru_2025,Desc,Muni_Nom_Cruce,Nivel_Castigo
TOCANCIPÁ,CUNDINAMARCA,25817,49642,6778.0,1,Ciudades y Aglomeraciones,Tocancipa,0.0
TOPAIPÍ,CUNDINAMARCA,25823,4996,348.0,3,Rural,Topaipi,3.0
UBALÁ,CUNDINAMARCA,25839,9257,177.0,3,Rural,Ubala,2.0
UBAQUE,CUNDINAMARCA,25841,8231,769.0,2,Intermedio,Ubaque,2.0
VILLA DE SAN DIEGO DE UBATÉ,CUNDINAMARCA,25843,53790,5259.0,1,Ciudades y Aglomeraciones,Villa De San Diego De Ubate,1.0
UNE,CUNDINAMARCA,25845,8569,410.0,3,Rural,Une,2.0
ÚTICA,CUNDINAMARCA,25851,5202,565.0,2,Intermedio,Utica,2.0
VERGARA,CUNDINAMARCA,25862,8304,574.0,2,Intermedio,Vergara,2.0
VIANÍ,CUNDINAMARCA,25867,5380,802.0,2,Intermedio,Viani,2.0
VILLAGÓMEZ,CUNDINAMARCA,25871,2133,339.0,3,Rural,Villagomez,2.0
VILLAPINZÓN,CUNDINAMARCA,25873,21353,944.0,2,Intermedio,Villapinzon,2.0
VILLETA,CUNDINAMARCA,25875,33643,2388.0,1,Ciudades y Aglomeraciones,Villeta,1.0
VIOTÁ,CUNDINAMARCA,25878,16218,806.0,2,Intermedio,Viota,3.0
YACOPÍ,CUNDINAMARCA,25885,14856,155.0,3,Rural,Yacopi,2.0
ZIPACÓN,CUNDINAMARCA,25898,5782,1065.0,1,Ciudades y Aglomeraciones,Zipacon,1.0
ZIPAQUIRÁ,CUNDINAMARCA,25899,165473,8494.0,1,Ciudades y Aglomeraciones,Zipaquira,0.0
QUIBDÓ,CHOCÓ,27001,146875,420.0,3,Rural,Quibdo,3.0
ACANDÍ,CHOCÓ,27006,16096,202.0,3,Rural,Acandi,3.0
ALTO BAUDÓ,CHOCÓ,27025,31745,155.0,3,Rural,Alto Baudo,3.0
ATRATO,CHOCÓ,27050,6962,165.0,3,Rural,Atrato,3.0
BAGADÓ,CHOCÓ,27073,11959,148.0,3,Rural,Bagado,3.0
BAHÍA SOLANO,CHOCÓ,27075,11671,131.0,3,Rural,Bahia Solano,3.0
BAJO BAUDÓ,CHOCÓ,27077,34457,99.0,4,Rural Disperso,Bajo Baudo,3.0
BOJAYÁ,CHOCÓ,27099,13935,38.0,4,Rural Disperso,Bojaya,3.0
EL CANTÓN DEL SAN PABLO,CHOCÓ,27135,7016,185.0,3,Rural,El Canton Del San Pablo,3.0
CARMEN DEL DARIÉN,CHOCÓ,27150,22466,71.0,4,Rural Disperso,Carmen Del Darien,3.0
CÉRTEGUI,CHOCÓ,27160,6302,149.0,3,Rural,Certegui,3.0
CONDOTO,CHOCÓ,27205,14183,304.0,3,Rural,Condoto,3.0
EL CARMEN DE ATRATO,CHOCÓ,27245,9413,114.0,3,Rural,El Carmen De Atrato,3.0
EL LITORAL DEL SAN JUAN,CHOCÓ,27250,25814,63.0,4,Rural Disperso,El Litoral Del San Juan,3.0
ISTMINA,CHOCÓ,27361,34414,183.0,3,Rural,Istmina,3.0
JURADÓ,CHOCÓ,27372,7637,61.0,4,Rural Disperso,Jurado,3.0
LLORÓ,CHOCÓ,27413,10745,128.0,3,Rural,Lloro,3.0
MEDIO ATRATO,CHOCÓ,27425,13100,72.0,4,Rural Disperso,Medio Atrato,3.0
MEDIO BAUDÓ,CHOCÓ,27430,17139,125.0,3,Rural,Medio Baudo,3.0
MEDIO SAN JUAN,CHOCÓ,27450,11945,180.0,3,Rural,Medio San Juan,3.0
NÓVITA,CHOCÓ,27491,10551,112.0,3,Rural,Novita,3.0
NUQUÍ,CHOCÓ,27495,18502,264.0,3,Rural,Nuqui,3.0
RÍO IRÓ,CHOCÓ,27580,5983,184.0,3,Rural,Rio Iro,3.0
RÍO QUITO,CHOCÓ,27600,9296,133.0,3,Rural,Rio Quito,3.0
RIOSUCIO,CHOCÓ,27615,64544,85.0,4,Rural Disperso,Riosucio,3.0
SAN JOSÉ DEL PALMAR,CHOCÓ,27660,5809,37.0,4,Rural Disperso,San Jose Del Palmar,3.0
SIPÍ,CHOCÓ,27745,3664,23.0,4,Rural Disperso,Sipi,3.0
TADÓ,CHOCÓ,27787,20476,287.0,3,Rural,Tado,3.0
UNGUÍA,CHOCÓ,27800,14756,124.0,3,Rural,Unguia,3.0
UNIÓN PANAMERICANA,CHOCÓ,27810,7627,430.0,3,Rural,Union Panamericana,3.0
NEIVA,HUILA,41001,388229,3059.0,1,Ciudades y Aglomeraciones,Neiva,1.0
ACEVEDO,HUILA,41006,27418,526.0,2,Intermedio,Acevedo,3.0
AGRADO,HUILA,41013,9630,352.0,3,Rural,Agrado,2.0
AIPE,HUILA,41016,17715,223.0,3,Rural,Aipe,2.0
ALGECIRAS,HUILA,41020,24605,417.0,3,Rural,Algeciras,3.0
ALTAMIRA,HUILA,41026,4660,258.0,3,Rural,Altamira,2.0
BARAYA,HUILA,41078,9078,116.0,3,Rural,Baraya,3.0
CAMPOALEGRE,HUILA,41132,33882,732.0,2,Intermedio,Campoalegre,2.0
COLOMBIA,HUILA,41206,7866,50.0,4,Rural Disperso,Colombia,3.0
ELÍAS,HUILA,41244,4635,577.0,2,Intermedio,Elias,2.0
GARZÓN,HUILA,41298,79609,1313.0,1,Ciudades y Aglomeraciones,Garzon,1.0
GIGANTE,HUILA,41306,26926,535.0,2,Intermedio,Gigante,2.0
GUADALUPE,HUILA,41319,19729,791.0,2,Intermedio,Guadalupe,2.0
HOBO,HUILA,41349,7927,408.0,3,Rural,Hobo,3.0
ÍQUIRA,HUILA,41357,10179,286.0,3,Rural,Iquira,2.0
ISNOS,HUILA,41359,27847,752.0,2,Intermedio,Isnos,3.0
LA ARGENTINA,HUILA,41378,14218,399.0,3,Rural,La Argentina,2.0
LA PLATA,HUILA,41396,67206,826.0,2,Intermedio,La Plata,2.0
NÁTAGA,HUILA,41483,7117,540.0,2,Intermedio,Nataga,2.0
OPORAPA,HUILA,41503,12843,825.0,2,Intermedio,Oporapa,2.0
PAICOL,HUILA,41518,7247,261.0,3,Rural,Paicol,2.0
PALERMO,HUILA,41524,28899,327.0,3,Rural,Palermo,2.0
PALESTINA,HUILA,41530,12359,628.0,2,Intermedio,Palestina,2.0
PITAL,HUILA,41548,15141,783.0,2,Intermedio,Pital,2.0
PITALITO,HUILA,41551,137170,2178.0,1,Ciudades y Aglomeraciones,Pitalito,1.0
RIVERA,HUILA,41615,26742,1065.0,1,Ciudades y Aglomeraciones,Rivera,1.0
SALADOBLANCO,HUILA,41660,11545,248.0,3,Rural,Saladoblanco,2.0
SAN AGUSTÍN,HUILA,41668,36382,262.0,3,Rural,San Agustin,2.0
SANTA MARÍA,HUILA,41676,11445,337.0,3,Rural,Santa Maria,2.0
SUAZA,HUILA,41770,24108,562.0,2,Intermedio,Suaza,2.0
TARQUI,HUILA,41791,19213,530.0,2,Intermedio,Tarqui,2.0
TESALIA,HUILA,41797,11728,320.0,3,Rural,Tesalia,2.0
TELLO,HUILA,41799,12908,243.0,3,Rural,Tello,3.0
TERUEL,HUILA,41801,8792,187.0,3,Rural,Teruel,2.0
TIMANÁ,HUILA,41807,23943,1290.0,1,Ciudades y Aglomeraciones,Timana,1.0
VILLAVIEJA,HUILA,41872,7979,147.0,3,Rural,Villavieja,2.0
YAGUARÁ,HUILA,41885,8398,252.0,3,Rural,Yaguara,2.0
RIOHACHA,LA GUAJIRA,44001,230407,746.0,2,Intermedio,Riohacha,3.0
ALBANIA,LA GUAJIRA,44035,36376,667.0,2,Intermedio,Albania,3.0
BARRANCAS,LA GUAJIRA,44078,44488,556.0,2,Intermedio,Barrancas,3.0
DIBULLA,LA GUAJIRA,44090,47487,271.0,3,Rural,Dibulla,3.0
DISTRACCIÓN,LA GUAJIRA,44098,15873,685.0,2,Intermedio,Distraccion,3.0
EL MOLINO,LA GUAJIRA,44110,8741,361.0,3,Rural,El Molino,3.0
FONSECA,LA GUAJIRA,44279,51998,1099.0,1,Ciudades y Aglomeraciones,Fonseca,3.0
HATONUEVO,LA GUAJIRA,44378,24792,1156.0,1,Ciudades y Aglomeraciones,Hatonuevo,3.0
LA JAGUA DEL PILAR,LA GUAJIRA,44420,4192,233.0,3,Rural,La Jagua Del Pilar,3.0
MAICAO,LA GUAJIRA,44430,206963,1171.0,1,Ciudades y Aglomeraciones,Maicao,3.0
MANAURE,LA GUAJIRA,44560,99991,618.0,2,Intermedio,Manaure,3.0
SAN JUAN DEL CESAR,LA GUAJIRA,44650,56829,434.0,3,Rural,San Juan Del Cesar,3.0
URIBIA,LA GUAJIRA,44847,198368,252.0,3,Rural,Uribia,3.0
URUMITA,LA GUAJIRA,44855,13016,529.0,2,Intermedio,Urumita,3.0
VILLANUEVA,LA GUAJIRA,44874,34330,1320.0,1,Ciudades y Aglomeraciones,Villanueva,3.0
SANTA MARTA,MAGDALENA,47001,566650,2414.0,1,Ciudades y Aglomeraciones,Santa Marta,3.0
ALGARROBO,MAGDALENA,47030,17989,443.0,3,Rural,Algarrobo,3.0
ARACATACA,MAGDALENA,47053,45859,263.0,3,Rural,Aracataca,3.0
ARIGUANÍ,MAGDALENA,47058,34491,305.0,3,Rural,Ariguani,3.0
CERRO DE SAN ANTONIO,MAGDALENA,47161,11410,644.0,2,Intermedio,Cerro De San Antonio,3.0
CHIVOLO,MAGDALENA,47170,25186,469.0,3,Rural,Chivolo,3.0
CIÉNAGA,MAGDALENA,47189,134841,1018.0,1,Ciudades y Aglomeraciones,Cienaga,3.0
CONCORDIA,MAGDALENA,47205,12035,1099.0,1,Ciudades y Aglomeraciones,Concordia,3.0
EL BANCO,MAGDALENA,47245,74942,920.0,2,Intermedio,El Banco,3.0
EL PIÑÓN,MAGDALENA,47258,25974,466.0,3,Rural,El Pinon,3.0
EL RETÉN,MAGDALENA,47268,22071,842.0,2,Intermedio,El Reten,3.0
FUNDACIÓN,MAGDALENA,47288,75845,780.0,2,Intermedio,Fundacion,3.0
GUAMAL,MAGDALENA,47318,30709,544.0,2,Intermedio,Guamal,3.0
NUEVA GRANADA,MAGDALENA,47460,22571,268.0,3,Rural,Nueva Granada,3.0
PEDRAZA,MAGDALENA,47541,10666,349.0,3,Rural,Pedraza,3.0
PIJIÑO DEL CARMEN,MAGDALENA,47545,13842,209.0,3,Rural,Pijino Del Carmen,3.0
PIVIJAY,MAGDALENA,47551,42579,260.0,3,Rural,Pivijay,3.0
PLATO,MAGDALENA,47555,71294,489.0,3,Rural,Plato,3.0
PUEBLOVIEJO,MAGDALENA,47570,34583,512.0,2,Intermedio,Puebloviejo,3.0
REMOLINO,MAGDALENA,47605,13084,220.0,3,Rural,Remolino,3.0
SABANAS DE SAN ÁNGEL,MAGDALENA,47660,17856,144.0,3,Rural,Sabanas De San Angel,3.0
SALAMINA,MAGDALENA,47675,12258,719.0,2,Intermedio,Salamina,3.0
SAN SEBASTIÁN DE BUENAVISTA,MAGDALENA,47692,22641,517.0,2,Intermedio,San Sebastian De Buenavista,3.0
SAN ZENÓN,MAGDALENA,47703,13629,507.0,2,Intermedio,San Zenon,3.0
SANTA ANA,MAGDALENA,47707,28257,252.0,3,Rural,Santa Ana,3.0
SANTA BÁRBARA DE PINTO,MAGDALENA,47720,11867,240.0,3,Rural,Santa Barbara De Pinto,3.0
SITIONUEVO,MAGDALENA,47745,31194,321.0,3,Rural,Sitionuevo,3.0
TENERIFE,MAGDALENA,47798,15071,306.0,3,Rural,Tenerife,3.0
ZAPAYÁN,MAGDALENA,47960,11118,298.0,3,Rural,Zapayan,3.0
ZONA BANANERA,MAGDALENA,47980,78526,1759.0,1,Ciudades y Aglomeraciones,Zona Bananera,3.0
VILLAVICENCIO,META,50001,593273,4614.0,1,Ciudades y Aglomeraciones,Villavicencio,1.0
ACACÍAS,META,50006,97925,871.0,2,Intermedio,Acacias,2.0
BARRANCA DE UPÍA,META,50110,7266,180.0,3,Rural,Barranca De Upia,3.0
CABUYARO,META,50124,6736,74.0,4,Rural Disperso,Cabuyaro,3.0
CASTILLA LA NUEVA,META,50150,16102,313.0,3,Rural,Castilla La Nueva,2.0
CUBARRAL,META,50223,7946,69.0,4,Rural Disperso,Cubarral,3.0
CUMARAL,META,50226,25518,408.0,3,Rural,Cumaral,2.0
EL CALVARIO,META,50245,1930,71.0,4,Rural Disperso,El Calvario,3.0
EL CASTILLO,META,50251,8768,154.0,3,Rural,El Castillo,3.0
EL DORADO,META,50270,4424,377.0,3,Rural,El Dorado,3.0
FUENTE DE ORO,META,50287,13503,237.0,3,Rural,Fuente De Oro,3.0
GRANADA,META,50313,77074,2213.0,1,Ciudades y Aglomeraciones,Granada,3.0
GUAMAL,META,50318,15783,265.0,3,Rural,Guamal,2.0
MAPIRIPÁN,META,50325,7678,6.0,4,Rural Disperso,Mapiripan,3.0
MESETAS,META,50330,12530,55.0,4,Rural Disperso,Mesetas,3.0
LA MACARENA,META,50350,29573,36.0,4,Rural Disperso,La Macarena,3.0
URIBE,META,50370,10260,16.0,4,Rural Disperso,Uribe,3.0
LEJANÍAS,META,50400,12721,156.0,3,Rural,Lejanias,3.0
PUERTO CONCORDIA,META,50450,9296,75.0,4,Rural Disperso,Puerto Concordia,3.0
PUERTO GAITÁN,META,50568,46689,27.0,4,Rural Disperso,Puerto Gaitan,3.0
PUERTO LÓPEZ,META,50573,33995,49.0,4,Rural Disperso,Puerto Lopez,3.0
PUERTO LLERAS,META,50577,11627,46.0,4,Rural Disperso,Puerto Lleras,3.0
PUERTO RICO,META,50590,13997,41.0,4,Rural Disperso,Puerto Rico,3.0
RESTREPO,META,50606,20430,560.0,2,Intermedio,Restrepo,2.0
SAN CARLOS DE GUAROA,META,50680,13793,171.0,3,Rural,San Carlos De Guaroa,2.0
SAN JUAN DE ARAMA,META,50683,10127,87.0,4,Rural Disperso,San Juan De Arama,3.0
SAN JUANITO,META,50686,1447,59.0,4,Rural Disperso,San Juanito,3.0
SAN MARTÍN,META,50689,30310,51.0,4,Rural Disperso,San Martin,3.0
VISTAHERMOSA,META,50711,19630,41.0,4,Rural Disperso,Vistahermosa,3.0
PASTO,NARIÑO,52001,415937,3795.0,1,Ciudades y Aglomeraciones,Pasto,3.0
ALBÁN,NARIÑO,52019,10113,2626.0,1,Ciudades y Aglomeraciones,Alban,3.0
ALDANA,NARIÑO,52022,7818,1648.0,1,Ciudades y Aglomeraciones,Aldana,3.0
ANCUYA,NARIÑO,52036,9165,1335.0,1,Ciudades y Aglomeraciones,Ancuya,3.0
ARBOLEDA,NARIÑO,52051,9222,1537.0,1,Ciudades y Aglomeraciones,Arboleda,3.0
BARBACOAS,NARIÑO,52079,58878,217.0,3,Rural,Barbacoas,3.0
BELÉN,NARIÑO,52083,6670,1598.0,1,Ciudades y Aglomeraciones,Belen,3.0
BUESACO,NARIÑO,52110,25213,398.0,3,Rural,Buesaco,3.0
COLÓN,NARIÑO,52203,8950,1453.0,1,Ciudades y Aglomeraciones,Colon,3.0
CONSACÁ,NARIÑO,52207,14561,1224.0,1,Ciudades y Aglomeraciones,Consaca,3.0
CONTADERO,NARIÑO,52210,7666,1781.0,1,Ciudades y Aglomeraciones,Contadero,3.0
CÓRDOBA,NARIÑO,52215,16398,540.0,2,Intermedio,Cordoba,3.0
CUASPUD CARLOSAMA,NARIÑO,52224,9753,1715.0,1,Ciudades y Aglomeraciones,Cuaspud Carlosama,3.0
CUMBAL,NARIÑO,52227,38963,428.0,3,Rural,Cumbal,3.0
CUMBITARA,NARIÑO,52233,6232,176.0,3,Rural,Cumbitara,3.0
CHACHAGÜÍ,NARIÑO,52240,16022,1099.0,1,Ciudades y Aglomeraciones,Chachagui,3.0
EL CHARCO,NARIÑO,52250,23396,94.0,4,Rural Disperso,El Charco,3.0
EL PEÑOL,NARIÑO,52254,7804,647.0,2,Intermedio,El Penol,3.0
EL ROSARIO,NARIÑO,52256,13010,251.0,3,Rural,El Rosario,3.0
EL TABLÓN DE GÓMEZ,NARIÑO,52258,15184,496.0,3,Rural,El Tablon De Gomez,3.0
EL TAMBO,NARIÑO,52260,14996,611.0,2,Intermedio,El Tambo,3.0
FUNES,NARIÑO,52287,7566,192.0,3,Rural,Funes,3.0
GUACHUCAL,NARIÑO,52317,20578,1327.0,1,Ciudades y Aglomeraciones,Guachucal,3.0
GUAITARILLA,NARIÑO,52320,12049,1036.0,1,Ciudades y Aglomeraciones,Guaitarilla,3.0
GUALMATÁN,NARIÑO,52323,7445,2494.0,1,Ciudades y Aglomeraciones,Gualmatan,3.0
ILES,NARIÑO,52352,8049,1003.0,1,Ciudades y Aglomeraciones,Iles,3.0
IMUÉS,NARIÑO,52354,8029,986.0,2,Intermedio,Imues,3.0
IPIALES,NARIÑO,52356,122161,780.0,2,Intermedio,Ipiales,3.0
LA CRUZ,NARIÑO,52378,19655,825.0,2,Intermedio,La Cruz,3.0
LA FLORIDA,NARIÑO,52381,10591,780.0,2,Intermedio,La Florida,3.0
LA LLANADA,NARIÑO,52385,6699,275.0,3,Rural,La Llanada,3.0
LA TOLA,NARIÑO,52390,7739,187.0,3,Rural,La Tola,3.0
LA UNIÓN,NARIÑO,52399,33657,2375.0,1,Ciudades y Aglomeraciones,La Union,3.0
LEIVA,NARIÑO,52405,10263,332.0,3,Rural,Leiva,3.0
LINARES,NARIÑO,52411,10651,788.0,2,Intermedio,Linares,3.0
LOS ANDES,NARIÑO,52418,9880,104.0,3,Rural,Los Andes,3.0
MAGÜÍ,NARIÑO,52427,26239,146.0,3,Rural,Magui,3.0
MALLAMA,NARIÑO,52435,9492,168.0,3,Rural,Mallama,3.0
MOSQUERA,NARIÑO,52473,12687,166.0,3,Rural,Mosquera,3.0
NARIÑO,NARIÑO,52480,4594,1821.0,1,Ciudades y Aglomeraciones,Narino,3.0
OLAYA HERRERA,NARIÑO,52490,26611,267.0,3,Rural,Olaya Herrera,3.0
OSPINA,NARIÑO,52506,7475,1157.0,1,Ciudades y Aglomeraciones,Ospina,3.0
FRANCISCO PIZARRO,NARIÑO,52520,15025,288.0,3,Rural,Francisco Pizarro,3.0
POLICARPA,NARIÑO,52540,10435,241.0,3,Rural,Policarpa,3.0
POTOSÍ,NARIÑO,52560,10848,280.0,3,Rural,Potosi,3.0
PROVIDENCIA,NARIÑO,52565,5864,1472.0,1,Ciudades y Aglomeraciones,Providencia,3.0
PUERRES,NARIÑO,52573,8943,256.0,3,Rural,Puerres,3.0
PUPIALES,NARIÑO,52585,18412,1426.0,1,Ciudades y Aglomeraciones,Pupiales,3.0
RICAURTE,NARIÑO,52612,20762,198.0,3,Rural,Ricaurte,3.0
ROBERTO PAYÁN,NARIÑO,52621,13391,92.0,4,Rural Disperso,Roberto Payan,3.0
SAMANIEGO,NARIÑO,52678,30311,503.0,2,Intermedio,Samaniego,3.0
SANDONÁ,NARIÑO,52683,21513,2125.0,1,Ciudades y Aglomeraciones,Sandona,3.0
SAN BERNARDO,NARIÑO,52685,9695,1492.0,1,Ciudades y Aglomeraciones,San Bernardo,3.0
SAN LORENZO,NARIÑO,52687,19508,785.0,2,Intermedio,San Lorenzo,3.0
SAN PABLO,NARIÑO,52693,16047,1438.0,1,Ciudades y Aglomeraciones,San Pablo,3.0
SAN PEDRO DE CARTAGO,NARIÑO,52694,7179,1294.0,1,Ciudades y Aglomeraciones,San Pedro De Cartago,3.0
SANTA BÁRBARA,NARIÑO,52696,14223,117.0,3,Rural,Santa Barbara,3.0
SANTACRUZ,NARIÑO,52699,11413,212.0,3,Rural,Santacruz,3.0
SAPUYES,NARIÑO,52720,7735,672.0,2,Intermedio,Sapuyes,3.0
TAMINANGO,NARIÑO,52786,18726,801.0,2,Intermedio,Taminango,3.0
TANGUA,NARIÑO,52788,14244,656.0,2,Intermedio,Tangua,3.0
SAN ANDRÉS DE TUMACO,NARIÑO,52835,268311,748.0,2,Intermedio,San Andres De Tumaco,3.0
TÚQUERRES,NARIÑO,52838,47092,2185.0,1,Ciudades y Aglomeraciones,Tuquerres,3.0
YACUANQUER,NARIÑO,52885,11543,1127.0,1,Ciudades y Aglomeraciones,Yacuanquer,3.0
SAN JOSÉ DE CÚCUTA,NORTE DE SANTANDER,54001,815891,7201.0,1,Ciudades y Aglomeraciones,San Jose De Cucuta,3.0
ÁBREGO,NORTE DE SANTANDER,54003,36177,262.0,3,Rural,Abrego,3.0
ARBOLEDAS,NORTE DE SANTANDER,54051,11081,243.0,3,Rural,Arboledas,3.0
BOCHALEMA,NORTE DE SANTANDER,54099,9436,554.0,2,Intermedio,Bochalema,3.0
BUCARASICA,NORTE DE SANTANDER,54109,7307,270.0,3,Rural,Bucarasica,3.0
CÁCOTA,NORTE DE SANTANDER,54125,3206,231.0,3,Rural,Cacota,3.0
CÁCHIRA,NORTE DE SANTANDER,54128,12588,204.0,3,Rural,Cachira,3.0
CHINÁCOTA,NORTE DE SANTANDER,54172,19976,1202.0,1,Ciudades y Aglomeraciones,Chinacota,3.0
CHITAGÁ,NORTE DE SANTANDER,54174,13374,113.0,3,Rural,Chitaga,3.0
CONVENCIÓN,NORTE DE SANTANDER,54206,21297,229.0,3,Rural,Convencion,3.0
CUCUTILLA,NORTE DE SANTANDER,54223,9336,249.0,3,Rural,Cucutilla,3.0
DURANIA,NORTE DE SANTANDER,54239,5220,298.0,3,Rural,Durania,3.0
EL CARMEN,NORTE DE SANTANDER,54245,15178,88.0,4,Rural Disperso,El Carmen,3.0
EL TARRA,NORTE DE SANTANDER,54250,23617,336.0,3,Rural,El Tarra,3.0
EL ZULIA,NORTE DE SANTANDER,54261,30948,613.0,2,Intermedio,El Zulia,3.0
GRAMALOTE,NORTE DE SANTANDER,54313,8399,564.0,2,Intermedio,Gramalote,3.0
HACARÍ,NORTE DE SANTANDER,54344,11624,278.0,3,Rural,Hacari,3.0
HERRÁN,NORTE DE SANTANDER,54347,7905,740.0,2,Intermedio,Herran,3.0
LABATECA,NORTE DE SANTANDER,54377,7226,282.0,3,Rural,Labateca,3.0
LA ESPERANZA,NORTE DE SANTANDER,54385,13189,197.0,3,Rural,La Esperanza,3.0
LA PLAYA,NORTE DE SANTANDER,54398,8786,363.0,3,Rural,La Playa,3.0
LOS PATIOS,NORTE DE SANTANDER,54405,104287,8258.0,1,Ciudades y Aglomeraciones,Los Patios,3.0
LOURDES,NORTE DE SANTANDER,54418,4555,526.0,2,Intermedio,Lourdes,3.0
MUTISCUA,NORTE DE SANTANDER,54480,4876,307.0,3,Rural,Mutiscua,3.0
OCAÑA,NORTE DE SANTANDER,54498,135990,2603.0,1,Ciudades y Aglomeraciones,Ocana,3.0
PAMPLONA,NORTE DE SANTANDER,54518,57176,1918.0,1,Ciudades y Aglomeraciones,Pamplona,3.0
PAMPLONITA,NORTE DE SANTANDER,54520,6282,368.0,3,Rural,Pamplonita,3.0
PUERTO SANTANDER,NORTE DE SANTANDER,54553,9935,2212.0,1,Ciudades y Aglomeraciones,Puerto Santander,3.0
RAGONVALIA,NORTE DE SANTANDER,54599,6792,696.0,2,Intermedio,Ragonvalia,3.0
SALAZAR,NORTE DE SANTANDER,54660,11733,238.0,3,Rural,Salazar,3.0
SAN CALIXTO,NORTE DE SANTANDER,54670,14618,367.0,3,Rural,San Calixto,3.0
SAN CAYETANO,NORTE DE SANTANDER,54673,8128,585.0,2,Intermedio,San Cayetano,3.0
SANTIAGO,NORTE DE SANTANDER,54680,3901,226.0,3,Rural,Santiago,3.0
SARDINATA,NORTE DE SANTANDER,54720,29146,199.0,3,Rural,Sardinata,3.0
SILOS,NORTE DE SANTANDER,54743,7153,226.0,3,Rural,Silos,3.0
TEORAMA,NORTE DE SANTANDER,54800,18839,203.0,3,Rural,Teorama,3.0
TIBÚ,NORTE DE SANTANDER,54810,62474,233.0,3,Rural,Tibu,3.0
TOLEDO,NORTE DE SANTANDER,54820,17811,120.0,3,Rural,Toledo,3.0
VILLA CARO,NORTE DE SANTANDER,54871,5778,144.0,3,Rural,Villa Caro,3.0
VILLA DEL ROSARIO,NORTE DE SANTANDER,54874,116757,12733.0,1,Ciudades y Aglomeraciones,Villa Del Rosario,3.0
ARMENIA,QUINDIO,63001,310817,25575.0,1,Ciudades y Aglomeraciones,Armenia,1.0
BUENAVISTA,QUINDIO,63111,3257,848.0,2,Intermedio,Buenavista,2.0
CALARCÁ,QUINDIO,63130,76735,3478.0,1,Ciudades y Aglomeraciones,Calarca,1.0
CIRCASIA,QUINDIO,63190,29789,3301.0,1,Ciudades y Aglomeraciones,Circasia,1.0
CÓRDOBA,QUINDIO,63212,5954,641.0,2,Intermedio,Cordoba,2.0
FILANDIA,QUINDIO,63272,12729,1195.0,1,Ciudades y Aglomeraciones,Filandia,1.0
GÉNOVA,QUINDIO,63302,7809,265.0,3,Rural,Genova,3.0
LA TEBAIDA,QUINDIO,63401,35343,3958.0,1,Ciudades y Aglomeraciones,La Tebaida,1.0
MONTENEGRO,QUINDIO,63470,38619,2594.0,1,Ciudades y Aglomeraciones,Montenegro,1.0
PIJAO,QUINDIO,63548,5487,221.0,3,Rural,Pijao,3.0
QUIMBAYA,QUINDIO,63594,32175,2412.0,1,Ciudades y Aglomeraciones,Quimbaya,1.0
SALENTO,QUINDIO,63690,9846,284.0,3,Rural,Salento,3.0
PEREIRA,RISARALDA,66001,482824,7948.0,1,Ciudades y Aglomeraciones,Pereira,1.0
APÍA,RISARALDA,66045,12645,844.0,2,Intermedio,Apia,2.0
BALBOA,RISARALDA,66075,6525,547.0,2,Intermedio,Balboa,3.0
BELÉN DE UMBRÍA,RISARALDA,66088,25339,1404.0,1,Ciudades y Aglomeraciones,Belen De Umbria,1.0
DOSQUEBRADAS,RISARALDA,66170,226152,32273.0,1,Ciudades y Aglomeraciones,Dosquebradas,1.0
GUÁTICA,RISARALDA,66318,12451,1236.0,1,Ciudades y Aglomeraciones,Guatica,1.0
LA CELIA,RISARALDA,66383,7669,830.0,2,Intermedio,La Celia,2.0
LA VIRGINIA,RISARALDA,66400,28555,8677.0,1,Ciudades y Aglomeraciones,La Virginia,1.0
